,cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,paid
1669,Ugzm6wlcpe4QW_3nbWN4AaABAg,"Bang Ferry ijin, pejabat publik kita tidak takut dengan market, mereka cuma takut dilihat jelek oleh presiden, jd di olah lah kata""nya sebaik mungkin. Dan presiden kita kali ini terlalu percaya an sama orang. 
Dan presiden kita juga pro ke rakyat dengan ada nya MBG, para kolega"" nya lebih kenyang drpd rakyatnya 😬",1 month ago,@KenzieMaira,UCPyXk6KAXwoo2snDg1NK58w,0,,https://yt3.ggpht.com/ytc/AIdro_lWxs76FWK3zH4OnQKAfU05BzT8Ao-KUCqwhdh5X6s4POOHta4ToH0skn4tyf_yydneLw=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.585071,
1670,UgzccKVhXR9v5BQDMjR4AaABAg,Elu top bang,1 month ago,@MullerJaka,UC8ryiaOpQ9vFpA_pSyNCz1w,0,,https://yt3.ggpht.com/5vrl1TvleGhwFhjV3-G9Hg7drUckfXtWqIG3WYidBm1BnpW0UJpKzSDIU2erzIbAB4v42DwK2Q=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.866574,
1671,UgwnSocWt5sA5b1babF4AaABAg,ada penjelasan versi bahasa bayinya kah bang,1 month ago,@muhammadluthfiatta,UCm17e3ezA7TKsIZJOHKfKpQ,0,,https://yt3.ggpht.com/ytc/AIdro_mP8sQIB6ZO57zQ7NYKcvZ5SVYLzSGwLJw921fbH56NeV7Y=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.86856,
1672,UgyZasm6AfbnCykzxOB4AaABAg,Dengerin purr tuh,1 month ago,@scherzo1408,UClGOC_kIEDaqWLKzhNy5WeQ,0,,https://yt3.ggpht.com/Bg_XURIujmLpYYOIlBSIAByo76Wj9MSOZxT2rCIzmJItd5sI2zABe1uM-4-t6gWLOumfXmmV=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.87016,
1673,UgwJ4nw-wh1InjTqyoV4AaABAg,Presiden paling tertolol dalam sejarah,1 month ago,@montessorean,UCh7988CxgFDcZ9i9Ao8KkVg,0,,https://yt3.ggpht.com/KT05TjXqb1FD7NU5zV-YkrqVVoTfIpJuJemkZqAP84W_h1lmxlpQnQGTBCHB-GKGwMmGJq0C=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.871764,
1674,Ugwd_7bjv9IjAmNYjSZ4AaABAg,"Simple nya 
1m 5% vs 100rb 10%( koar koar) 😂",1 month ago,@wayanristawan3216,UCH3Jfn7n_j3HVqtbiNQOVsQ,0,,https://yt3.ggpht.com/ytc/AIdro_lS6wBZxC2vCWo9oxLabn9tM-eksMUTmJH2YJbOn-siH30=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.873343,
1675,UgwWJuNolOIEKhutK_54AaABAg,Masalahnya pemerintah kita rata-rata ANTI KRITIK 😢,1 month ago,@husscreativearts334,UCsEDCDTosTtake6kjQuJDTg,1,,https://yt3.ggpht.com/ytc/AIdro_m8-BuYHimqUDzIgn6jc1oviNfn0ToGmiiH8uSKOgd9GLM=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.87489,
1676,Ugyx3AgU6FHx7ZIi-P14AaABAg,"MBG, tunjangan DPR, korupsi.",1 month ago,@nofilagonda504,UCRGBRkJMG0xu2BnwOUcSjow,0,,https://yt3.ggpht.com/ytc/AIdro_lVtSsXbVgIdYIYnrleZwbGy7wZv15s4f3yYz0hkdibN5M1=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.87642,
1677,UgxXEOatZ79dCDKChpl4AaABAg,Kepastian hukum adalah salah satu penyebab pelemahan rupiah apakah kasus ijazah jokowi juga termasuk bung 😂,1 month ago,@hendraekajasmana,UCc35x5fq9NdM4DMSqesYPkA,0,,https://yt3.ggpht.com/ytc/AIdro_nc0woWWOT4lxAmuJKPlTr-qVuhbU5BrQ2n0wbYjyb1BQ=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.878049,
1678,UgwAD3q9aa8zVZIx24h4AaABAg,Dikepalanya cuma ada mbg,1 month ago,@retnopurwanti513,UCczLCOd3xD9mBG6HyQMSL0Q,0,,https://yt3.ggpht.com/ytc/AIdro_l3eSdJrs9xkcAFM7kExUd2KzasO2x_y1BOcwBOQFRsO4jhq02GQpbHzLNdWF64M9fNlQ=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.879664,
1679,UgxhRN5sXuVKM7jazbp4AaABAg,aku tau ini tehnik videografi. tapi buat pening kalo aku fokus lihat papan tulis.,1 month ago,@edrianhadinata1303,UCuccHxewwH2Vvo6ZlmB-P-w,0,,https://yt3.ggpht.com/ytc/AIdro_nyKo7Y5YuhtuTgtH6ByzUMMfvLMDzjivd_9jKqTt6HXw=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.881257,
1680,UgytNKjFyXXKWHP_atJ4AaABAg,bacrit,1 month ago,@agigun-f1f,UCtvHB9HuGLtmfw_1Yr_FPqA,0,,https://yt3.ggpht.com/ytc/AIdro_my_Q8E6z1tGmEvR3do2vahpmtcQRQbjsr8x9XUGhdFzRbfOBSM4d22iNmTU-9tq70Fcg=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.882915,
1681,UgwWjAh5dWaXjPnSxeV4AaABAg,Permasalahannya bukan mata uang tapi judol dan koruptor merajalela,1 month ago (edited),@GalihKuncoroKuncoro,UCw9VcM4O8NopVzzD2rjjg0Q,0,,https://yt3.ggpht.com/ytc/AIdro_mimC9VbaEtPyRCUL55_Vduus-POLQbK2d7hopubLvgA-UFiK0RjYIlhwdeLV7yKNeYJA=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.884444,
1682,UgxKA4aJzq47jXu5zB54AaABAg,"Siapapun presidennya, kalau Rupiah makin melemah, dia akan dipertanyakan kinerja dan policy-nya.

Jadi terima saja, Wok.
Mawas diri.
Kamu tidak se-istimewa itu.
Kamu juga harus kerja keras memulihkan ekonomi.
Harus sadar program2 yang kau buat sengaruh itu ke beban APBN.
No more sugarcoating.",1 month ago,@rediprio1231,UCdJ0H73mm3DdXU7-ar-DqTw,0,,https://yt3.ggpht.com/ytc/AIdro_nFl3vYU_C4SXY_nucvLjkKg09kR2MTQsbTSe2l0m1YSYU=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.885997,
1683,Ugxz7W604sXPcTQSWXN4AaABAg,Mandi dlu bang,1 month ago,@Megatron-S9,UCpJFn_DUFLDN643FPJ4ZK8w,0,,https://yt3.ggpht.com/4JBB6-tjMSeHT6y5kyPBs8Q65u_8g4QKlz3nJIHf7htNAirJUohuIp9x7qAU7kcybhDnUNF6J4E=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.887604,
1684,UgwPr557FGgMx3iqMvR4AaABAg,"610 T spending pusat, buat mbg yg jadi tai, buat kopdes yg cuma jadi bancakan aparat, buat ikn yg jadi tempat wisata termahal didunia 😢",1 month ago,@EndyAprizal-wk3ts,UCl3k3L_y-9xrXrgZqd7563g,0,,https://yt3.ggpht.com/ytc/AIdro_kIlEeQ4OACNIy4MLudGsL9DTagn5RKE7hatI9E0_FFdCTBbMQSp-RsS-u8gOIa7AM2aQ=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.889199,
1685,UgxJ_oPwEf0gQAHuNDh4AaABAg,Bang ni video tembus yutub kids ga.,1 month ago,@hideyoshiyozora7968,UCvao_lRgzdLOyM4V5_tFghA,0,,https://yt3.ggpht.com/ytc/AIdro_nlvRwP6HrmBvei4HnUpdCnPJNEIchXDPEWzuUOzfIRk49K=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.891005,
1686,UgzZbEqzR5KyMoRBeEh4AaABAg,bang apa ini akan terulang kejadian krismon,1 month ago,@akusuka-g9o,UC2vdRYgwuAbtzjm-55YlkJw,0,,https://yt3.ggpht.com/ytc/AIdro_lsGbkAgCKrQ4AOZ34hnL3cTnEeXmaVN6zHSQW5lRMJF4Pv02mW6pL-DHb5zoRq10bi4A=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.89262,
